Numero;Nom;Age;Matchs joués;Buts;Passe D;Column9;Column10
1;T. Courtois;27 ans;51;-;-;20202021;Gardiens
1;T. Courtois;25 ans;35;-;-;20182019;Gardiens
1;T. Courtois;29 ans;51;-;-;20222023;Gardiens
1;T. Courtois;31 ans;-;-;-;20232024;Gardiens
15;T. Hernández;19 ans;27;-;3;20172018;Défenseurs
;T. Hernández;21 ans;-;-;-;20192020;Défenseurs
15;T. Hernández;20 ans;1;-;1;20182019;Défenseurs
8;T. Kroos;24 ans;50;1;11;20152016;Milieux
8;T. Kroos;23 ans;36;2;7;20142015;Milieux
8;T. Kroos;25 ans;49;4;18;20162017;Milieux
8;T. Kroos;30 ans;45;3;3;20212022;Milieux
8;T. Kroos;26 ans;44;5;8;20172018;Milieux
8;T. Kroos;28 ans;51;6;9;20192020;Milieux
8;T. Kroos;29 ans;42;3;12;20202021;Milieux
8;T. Kroos;27 ans;43;1;6;20182019;Milieux
8;T. Kroos;31 ans;55;2;6;20222023;Milieux
8;T. Kroos;33 ans;12;1;2;20232024;Milieux
26;T. Kubo;17 ans;4;-;-;20192020;Milieux
;T. Kubo;18 ans;-;-;-;20202021;Milieux
;T. Kubo;20 ans;-;-;-;20222023;Milieux
12;Tati;18 ans;-;-;-;20172018;Milieux
40;Tomás Mejías;24 ans;-;-;-;20142015;Gardiens
40;Toni Fuidias;19 ans;-;-;-;20212022;Gardiens
30;Toni Fuidias;17 ans;-;-;-;20192020;Gardiens
40;Toni Fuidias;20 ans;-;-;-;20222023;Gardiens
17;Toni Segura;17 ans;-;-;-;20162017;Milieux
5;Vallejo;23 ans;8;-;-;20212022;Défenseurs
3;Vallejo;19 ans;28;-;-;20172018;Défenseurs
3;Vallejo;21 ans;-;-;-;20192020;Défenseurs
5;Vallejo;22 ans;-;-;-;20202021;Défenseurs
3;Vallejo;20 ans;16;2;-;20182019;Défenseurs
5;Vallejo;24 ans;7;-;1;20222023;Défenseurs
;Víctor Campuzano;18 ans;-;-;-;20162017;Attaquants
32;Víctor Chust;20 ans;2;-;-;20212022;Défenseurs
32;Víctor Chust;19 ans;3;-;-;20202021;Défenseurs
;Víctor Chust;21 ans;-;-;-;20222023;Défenseurs
;Víctor Chust;23 ans;-;-;-;20232024;Défenseurs
7;Vinícius Júnior;20 ans;53;22;16;20212022;Attaquants
7;Vinícius Júnior;18 ans;44;5;4;20192020;Milieux
7;Vinícius Júnior;19 ans;49;6;4;20202021;Attaquants
7;Vinícius Júnior;17 ans;32;4;9;20182019;Attaquants
7;Vinícius Júnior;21 ans;58;23;19;20222023;Attaquants
7;Vinícius Júnior;23 ans;8;4;1;20232024;Attaquants
27;Vinícius Tobias;17 ans;1;-;-;20222023;Défenseurs
27;Vinícius Tobias;19 ans;-;-;-;20232024;Défenseurs
22;Xabi Alonso;32 ans;-;-;-;20142015;Milieux
28;Zekri;18 ans;-;-;-;20192020;Défenseurs
